date,fork_length,lifestage
2022-02-09T00:00:00Z,54,NA
2022-02-09T00:00:00Z,43,NA
2022-02-09T00:00:00Z,51,NA
2022-02-09T00:00:00Z,48,NA
2022-02-09T00:00:00Z,51,NA
2022-02-09T00:00:00Z,53,NA
2022-02-09T00:00:00Z,57,NA
2022-02-09T00:00:00Z,57,NA
2022-02-09T00:00:00Z,53,NA
2022-02-09T00:00:00Z,55,NA
2022-02-09T00:00:00Z,57,NA
2022-02-09T00:00:00Z,58,NA
2022-02-09T00:00:00Z,56,NA
2023-01-31T00:00:00Z,40,NA
2023-01-31T00:00:00Z,39,NA
2023-01-31T00:00:00Z,38,NA
2023-01-31T00:00:00Z,38,NA
2023-01-31T00:00:00Z,39,NA
2023-01-31T00:00:00Z,35,NA
2023-01-31T00:00:00Z,36,NA
2023-01-31T00:00:00Z,36,NA
2023-01-31T00:00:00Z,36,NA
2023-01-31T00:00:00Z,38,NA
2023-01-31T00:00:00Z,35,NA
2023-01-31T00:00:00Z,41,NA
2023-01-31T00:00:00Z,40,NA
2023-01-31T00:00:00Z,39,NA
2023-01-31T00:00:00Z,35,NA
2023-01-31T00:00:00Z,40,NA
2023-01-31T00:00:00Z,37,NA
2023-01-31T00:00:00Z,40,NA
2023-01-31T00:00:00Z,39,NA
2023-01-31T00:00:00Z,38,NA
2023-01-31T00:00:00Z,40,NA
2023-01-31T00:00:00Z,38,NA
2023-01-31T00:00:00Z,39,NA
2023-01-31T00:00:00Z,39,NA
2023-02-15T00:00:00Z,44,NA
2023-02-15T00:00:00Z,42,NA
2023-02-15T00:00:00Z,41,NA
2023-02-15T00:00:00Z,44,NA
2023-02-15T00:00:00Z,42,NA
2023-02-17T00:00:00Z,45,parr
2023-02-17T00:00:00Z,47,parr
2023-05-23T00:00:00Z,81,smolt
2023-05-23T00:00:00Z,88,smolt
2023-05-23T00:00:00Z,74,smolt
2023-05-23T00:00:00Z,58,smolt
2023-05-23T00:00:00Z,80,smolt
